Value,Timestamp,Event
0,1726284056.3844674,end
4,1726284056.3844674,start
4,1726284059.3826957,end
1,1726284059.3826957,start
1,1726284062.3774939,end
2,1726284062.3774939,start
2,1726284065.3858194,end
5,1726284065.3858194,start
5,1726284068.388843,end
4,1726284068.388843,start
4,1726284071.3862524,end
2,1726284071.3862524,start
2,1726284074.3817837,start
2,1726284077.3900404,end
4,1726284077.3900404,start
4,1726284080.38785,end
5,1726284080.38785,start
5,1726284083.385112,end
3,1726284083.385112,start
3,1726284086.3811026,start
3,1726284089.3817763,end
4,1726284089.3817763,start
4,1726284092.3853812,end
5,1726284092.3853812,start
5,1726284095.3822758,end
1,1726284095.3822758,start
1,1726284098.3870926,end
2,1726284098.3870926,start
2,1726284101.388227,end
1,1726284101.388227,start
1,1726284104.383396,end
2,1726284104.383396,start
2,1726284107.3911424,end
1,1726284107.3911424,start
1,1726284110.3810854,end
3,1726284110.3810854,start
3,1726284113.3855863,end
4,1726284113.3855863,start
4,1726284116.390558,start
4,1726284119.3783836,end
2,1726284119.3783836,start
2,1726284122.3794847,start
2,1726284125.3873184,end
3,1726284125.3873184,start
3,1726284128.383543,end
4,1726284128.383543,start
4,1726284131.3853989,end
5,1726284131.3853989,start
5,1726284134.3870947,end
1,1726284134.3870947,start
1,1726284137.387994,end
2,1726284137.387994,start
2,1726284140.3765311,end
4,1726284140.3765311,start
4,1726284143.3930857,end
3,1726284143.3930857,start
3,1726284146.3837748,end
4,1726284146.3837748,start
4,1726284149.3910706,end
5,1726284149.3910706,start
5,1726284152.384161,end
1,1726284152.384161,start
1,1726284155.388718,end
5,1726284155.388718,start
5,1726284158.377423,end
1,1726284158.377423,start
1,1726284161.3894293,end
2,1726284161.3894293,start
2,1726284164.3890867,end
5,1726284164.3890867,start
5,1726284167.3808353,start
5,1726284170.387041,end
3,1726284170.387041,start
3,1726284173.3775158,end
4,1726284173.3775158,start
4,1726284176.3790565,end
5,1726284176.3790565,start
5,1726284179.3771331,start
5,1726284182.3914313,end
1,1726284182.3914313,start
1,1726284185.380598,end
2,1726284185.380598,start
2,1726284188.3824885,end
4,1726284188.3824885,start
4,1726284191.3777416,end
2,1726284191.3777416,start
2,1726284194.3802364,start
2,1726284197.3819494,end
3,1726284197.3819494,start
3,1726284200.389545,start
3,1726284203.3781695,end
4,1726284203.3781695,start
4,1726284206.385253,start
4,1726284209.3917704,end
3,1726284209.3917704,start
3,1726284212.3891323,end
2,1726284212.3891323,start
2,1726284215.3820477,end
1,1726284215.3820477,start
1,1726284218.3913085,end
4,1726284218.3913085,start
4,1726284221.3822885,end
5,1726284221.3822885,start
5,1726284224.3841057,end
2,1726284224.3841057,start
2,1726284227.3900268,end
4,1726284227.3900268,start
4,1726284230.3786335,end
2,1726284230.3786335,start
2,1726284233.3803594,start
2,1726284236.3900807,end
4,1726284236.3900807,start
4,1726284239.3815675,end
5,1726284239.3815675,start
5,1726284242.3856182,end
4,1726284242.3856182,start
4,1726284245.377167,end
2,1726284245.377167,start
2,1726284248.3804011,end
1,1726284248.3804011,start
1,1726284251.3834286,end
5,1726284251.3834286,start
5,1726284254.388654,start
5,1726284257.3914468,end
4,1726284257.3914468,start
4,1726284260.3843143,end
5,1726284260.3843143,start
5,1726284263.3778167,end
2,1726284263.3778167,start
2,1726284266.3784752,end
3,1726284266.3784752,start
3,1726284269.3816977,end
5,1726284269.3816977,start
5,1726284272.386095,end
1,1726284272.386095,start
1,1726284275.3911219,end
3,1726284275.3911219,start
3,1726284278.3859937,end
1,1726284278.3859937,start
1,1726284281.376413,end
2,1726284281.376413,start
2,1726284284.3799903,end
1,1726284284.3799903,start
1,1726284287.387413,end
3,1726284287.387413,start
3,1726284290.3913622,end
1,1726284290.3913622,start
1,1726284293.3836741,end
3,1726284293.3836741,start
